Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4lriIG2vNqwDWzOj2I9rtj,"Ma Meilleure Ennemie (from the series Arcane League of Legends)","Ma Meilleure Ennemie (from the series Arcane League of Legends)","Stromae;Pomme;Arcane",2024-11-23,147973,76,false,,2025-12-18T11:24:13Z,"french pop,score","Riot Games",0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88,4
spotify:track:24zO025viPXqdjPEszpQtl,"Over De Rand - Live at OLT","Over De Rand (Live at OLT)","Bazart",2024-09-27,193000,33,false,,2025-12-18T11:24:13Z,"nederpop","Bazart",0.41,0.27,5,-9.941,1,0.0312,0.946,0.0000137,0.716,0.278,140.485,4
spotify:track:47nDxKt2bTRH1CtU8fgKnu,"Here To Stay","Here To Stay","Holliz",2024-07-26,191920,29,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.707,0.606,4,-6.46,1,0.0264,0.0468,0.00000515,0.204,0.647,119.97,4
spotify:track:4Iiq3xQEL80UQPZ9ZBaCjW,"THE MAZE","THE MAZE","Mustii",2024-10-18,161536,16,false,,2025-12-18T11:24:13Z,"","[PIAS] Recordings Belgium",0.727,0.773,2,-6.091,1,0.0478,0.0111,0.000511,0.142,0.673,109.988,4
spotify:track:3asgBPpl4Oeo9GRpFeo8ML,"Het beste moet nog komen","Het beste moet nog komen","Pommelien Thijs",2024-02-21,185706,47,false,,2025-12-18T11:24:13Z,"nederpop","Sony Music Entertainment",0.684,0.333,6,-8.912,1,0.0302,0.291,0,0.0627,0.313,99.909,4
spotify:track:38Y0M7Cntq31Co4AttUwgE,"Brood voor Morgenvroeg","Brood voor Morgenvroeg","Bart Peeters",2017-09-18,206360,45,false,,2025-12-18T11:24:13Z,"nederpop","SIMPLETONE",0.54,0.662,6,-6.34,0,0.0559,0.35,0.0000824,0.156,0.749,187.939,4
spotify:track:1Oyp4dLx07QamoDQZxs2W8,"are u done?","are u done?","Judith",2024-05-15,151088,33,false,,2025-12-18T11:24:13Z,"","Mostiko",0.524,0.772,2,-4.568,1,0.0692,0.376,0,0.206,0.569,133.882,3
spotify:track:2jmX4HP6gwXieqWRoQtuPd,"Ceiling","Ceiling","Roméo Elvis;Oscar and the Wolf",2025-07-18,197870,47,false,,2025-12-18T11:24:13Z,"french rap,french pop","UFORIA / OWTWO / Strauss Entertainment",0.803,0.732,8,-9.272,0,0.0644,0.144,0.00122,0.129,0.506,119.986,4
spotify:track:69FrMwZraTtpgiaEkp9AzX,"Bruxelles je t’aime","Nonante-Cinq","Angèle",2022-10-27,228211,33,false,,2025-12-18T11:24:13Z,"french pop,variété française,french indie pop,chanson","Angèle VL Records",0.74,0.567,0,-8.025,1,0.036,0.104,0,0.237,0.497,107.998,4
spotify:track:5650jkmPhrqy7sdXQ9O9mL,"Het midden","Het midden","Pommelien Thijs;MEAU",2024-10-10,161160,54,false,,2025-12-18T11:24:13Z,"nederpop,hollands","Sony Music Entertainment",0.793,0.661,8,-6.731,1,0.11,0.109,0,0.0631,0.846,143.965,4
spotify:track:1hH8ByI9BkzG8ASsQJoqcH,"Break ‘Em All","Break 'Em All","Berre",2024-06-07,213270,35,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.562,0.431,11,-7.298,1,0.0365,0.746,0.00000642,0.131,0.323,147.277,4
spotify:track:3oxAYo8xpZn1UXDnoyV2Ci,"hi, how's your girlfriend?","hi, how's your girlfriend?","Judith",2025-02-14,175700,33,false,,2025-12-18T11:24:13Z,"","Sony Music Entertainment",0.481,0.459,4,-6.683,1,0.0525,0.393,0,0.127,0.516,77.51,4
