Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3F1N7UKQ1ecGuARbGm9n9y,"So Naive","So Naive","Laura Tesoro",2024-09-06,194813,34,false,,2025-12-18T11:24:13Z,"","LASER [BNL]",0.529,0.522,11,-6.095,1,0.086,0.395,0,0.166,0.396,157.846,4
spotify:track:6Zqz0ZNlRLG9bAsQ13mA9f,"You'll Never Let Me Down","You'll Never Let Me Down","Regi;Teddy Bee",2025-02-28,164179,42,false,,2025-12-18T11:24:13Z,"hardstyle","Mostiko",0.615,0.71,9,-5.272,1,0.0698,0.383,0,0.039,0.54,127.942,4
spotify:track:1rN5JHM21poaueaK01se6P,"Hoe Zit Het Met Ons?","Hoe Zit Het Met Ons?","Aaron Blommaert",2025-04-25,186680,42,false,,2025-12-18T11:24:13Z,"","Universal Music S.A.",0.702,0.681,0,-7.089,1,0.0314,0.075,0,0.108,0.438,109.982,4
spotify:track:0XdjvyQF5h1MPQjsQ5YKw0,"Als Ik Voor Jou Kon Kiezen","Dagdromer","MAKSIM",2024-10-25,134687,42,false,,2025-12-18T11:24:13Z,"nederpop,hollands","Universal Music S.A.",0.665,0.609,7,-4.518,1,0.0434,0.652,0,0.128,0.641,108.063,4
spotify:track:4YJQk3mFHnWyyZJo9lLn1X,"jokes on you (hahaha)","heart-shaped scars","OLIVIA",2025-03-14,136200,17,false,,2025-12-18T11:24:13Z,"","Aivilo",0.618,0.657,4,-8.275,1,0.0712,0.28,0,0.71,0.781,75.123,4
spotify:track:3sHgrP4FHvUe4AalIPWFpe,"Like You","Look At Us Now","Gustaph",2025-03-28,207933,26,false,,2025-12-18T11:24:13Z,"","541",0.668,0.676,5,-8.155,1,0.0435,0.217,0.00000133,0.113,0.332,127.071,4
spotify:track:35t8pOqxELRbWS7ODsyc7p,"Run (feat. Ragdoll)","Run (feat. Ragdoll)","Henri PFR;Ragdoll",2025-05-23,156322,53,false,,2025-12-18T11:24:13Z,"tropical house","WEA France",0.661,0.81,1,-6.022,0,0.158,0.181,0,0.317,0.594,120.997,4
spotify:track:6oFQXbXkeQ9q6WVd7jGGbY,"Shining","Shining","Laura Tesoro",2025-05-17,210906,42,false,,2025-12-18T11:24:13Z,"","LASER [BNL]",0.484,0.787,3,-5.537,1,0.122,0.108,0,0.21,0.49,152.002,4
spotify:track:1primATZnXZfLf28dSmmM2,"Horen, Zien En Zwijgen","Horen, Zien En Zwijgen","Regi;MAXINE",2023-05-05,181602,37,false,,2025-12-18T11:24:13Z,"","Mostiko",0.688,0.728,8,-7.656,0,0.0549,0.256,0.000634,0.142,0.592,135.954,4
spotify:track:18P9LX6bCq6wLLH9bqKx10,"Nachtregen","Nachtregen","Metejoor",2025-09-12,200085,49,false,,2025-12-18T11:24:13Z,"nederpop,hollands","FruityLabel",0.544,0.867,2,-4.832,1,0.0552,0.0378,0,0.104,0.406,149.89,4
spotify:track:2HbWRmuiCRPDjbJPa4kJmS,"SLAY","SLAY","Red Sebastian",2025-06-06,180990,29,false,,2025-12-18T11:24:13Z,"","Mostiko",0.661,0.904,8,-2.389,0,0.0591,0.0363,0.0000043,0.381,0.748,126.975,4
spotify:track:76gfpttwTGXl0k1UoFBMxM,"Mélatonine","Hélé","Helena",2025-03-14,213861,55,false,,2025-12-18T11:24:13Z,"french pop,variété française,chanson","RCA Group",0.777,0.674,0,-8.396,1,0.0859,0.174,0.00424,0.101,0.407,103.982,4
spotify:track:3eotR6Uba0aX2B9FLKvwHI,"Bed Of Roses","Heart Rock","Helmut Lotti",2025-02-07,392333,19,false,,2025-12-18T11:24:13Z,"classical crossover","Universal Music Distributed Labels (DDO)",0.484,0.469,4,-8.21,1,0.0352,0.228,0,0.0916,0.287,80.898,3
spotify:track:0CVZr5MMrL7WFr74pK515Z,"Unstoppable","Unstoppable","Milk Inc.",2025-09-04,166566,53,false,,2025-12-18T11:24:13Z,"eurodance","Sony Music Entertainment",0.641,0.836,9,-5.436,0,0.037,0.0112,0.0000633,0.0859,0.464,139.977,4
spotify:track:0VE1NQ4QwD6B69kSMfpIG7,"Tout tenter","J'AI MENTI.","Damso;Angèle",2024-11-15,178640,50,true,,2025-12-18T11:24:13Z,"french rap,pop urbaine,french r&b,french pop,variété française,french indie pop,chanson","Trente-quatre centimes",0.757,0.592,0,-7.832,1,0.069,0.308,0.000192,0.103,0.287,109.991,4
spotify:track:4GmRnc9J8GBBkVHUtihE3Z,"Vuurwerk","Vuurwerk","Camille",2021-06-25,219462,44,false,,2025-12-18T11:24:13Z,"","Mostiko",0.511,0.772,5,-6.935,1,0.0567,0.00484,0.000401,0.13,0.459,169.956,4
spotify:track:5ztq1zM2wUPgFqr2PbwXj6,"Lost In The Night","Lost In The Night","Thierry Von Der Warth;Jack David",2024-05-31,169937,57,false,,2025-12-18T11:24:13Z,"tropical house,lounge","Paraiso",0.635,0.674,4,-6.994,0,0.0746,0.541,0.000223,0.122,0.195,118.1,4
