genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Folk,Grizzly Bear,"Ready, Able",5cf1ZfI16kHp3S1ySpQ36G,58,0.23,0.432,257213,0.458,0.719,C,0.111,-9.723,Major,0.0399,152.572,3/4,0.232
Reggaeton,Tego Calderon,Están Fritos,5p5UUOTpybCqKFHqx7tLL5,27,0.0886,0.627,129920,0.885,0.0,E,0.101,-4.681,Minor,0.424,158.769,4/4,0.519
Rock,Elle King,America's Sweetheart,2NcstvY8H9PVQ0DMNGHckh,57,0.0208,0.528,245547,0.928,5.69e-06,C#,0.376,-3.925,Major,0.0664,128.009,4/4,0.399
Children’s Music,Limp Bizkit,My Generation,6holGuk1jKHTdWyWBOZi8l,65,0.00267,0.458,221000,0.978,2.81e-06,C#,0.119,-2.394,Major,0.189,103.823,4/4,0.332
Children’s Music,Deftones,Digital Bath,2jSJm3Gv6GLxduWLenmjKS,60,0.00122,0.338,255373,0.859,0.211,E,0.0936,-4.938,Minor,0.0824,92.966,4/4,0.504
Anime,Hitorie,Social Clock,02Ns6mRK051qTB0nzZFPIg,13,0.0487,0.698,241853,0.928,6.08e-05,C,0.13,-4.015,Minor,0.0821,131.97,4/4,0.878
Opera,Gaetano Donizetti,"La fille du regiment: Act I: Introduction: Silenzio, silenzio (Chorus, Ortensio, Marchesa)",5EbgHb3x9msSyDtrS0PmJ0,4,0.972,0.324,352720,0.214,0.000428,D,0.0691,-19.166,Major,0.062,134.786,4/4,0.136
Rap,Kanye West,Drive Slow,6vB49BJ70zBpDrrAPwdaB8,58,0.032,0.76,272227,0.595,1.3e-05,F#,0.315,-8.198,Major,0.212,87.992,4/4,0.476
Pop,VICTOR!,Tinder Song,3iy0DPa6OvqqH7ZRWQWWol,64,0.517,0.618,120375,0.459,2.4e-05,B,0.0978,-7.34,Major,0.0239,79.992,4/4,0.548
Children’s Music,Waterparks,21 Questions,72OSgC3GVZyF0BNdKvfReq,50,0.533,0.686,226197,0.639,0.0,D#,0.166,-4.906,Major,0.0336,99.947,4/4,0.694
